ID,fixed acidity,,volatile acidity,,citric acid,,residual sugar,,chlorides,,free sulfur dioxide,,total sulfur dioxide,,density,,pH,,sulphates,,alcohol,type,location,quality,Predicted Type,,Avg. Alcohol,Avg. Sulphates,Avg. Fixed Acids,Avg. Vol Acids,Avg. Citric Acid,Avg. Res. Sugar,Avg. Chlorides,Avg. Free Sulph,Avg. Tot Sulph,Avg. Density,Avg. pH,,,,,,,,,,
41,8.6,red,0.37,white,0.65,white,6.4,white,0.08,red,3,red,8,red,0.99817,red,3.27,red,0.58,red,11,red,Texas,5,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,red,red
53,7.2,white,0.66,red,0.03,red,2.3,red,0.078,red,16,red,86,red,0.99743,red,3.53,red,0.57,white,9.7,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
61,7.6,red,0.95,red,0.03,red,2,red,0.09,red,7,red,20,red,0.9959,red,3.2,white,0.56,white,9.6,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,white,white
62,9.6,red,0.5,red,0.36,white,2.8,red,0.116,red,26,white,55,red,0.99722,red,3.18,white,0.68,red,10.9,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,white,red,red,white,red
63,6,white,0.58,red,0.2,red,2.4,red,0.075,red,15,red,50,red,0.99467,white,3.58,red,0.67,red,12.5,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,red
65,5.2,white,0.48,red,0.04,red,1.6,red,0.054,white,19,red,106,white,0.9927,white,3.54,red,0.62,red,12.2,red,California,7,red,,,,,,,,,,,,,white,red,red,red,white,red,white,white,red,red
68,7.6,red,0.78,red,0,red,1.7,red,0.076,red,33,white,45,red,0.99612,red,3.31,red,0.62,red,10.7,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
71,7.5,white,0.64,red,0,red,2.4,red,0.077,red,18,red,29,red,0.9965,red,3.32,red,0.6,red,10,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
82,10.2,red,0.44,red,0.42,white,2,red,0.071,red,7,red,20,red,0.99566,red,3.14,white,0.79,red,11.1,red,California,7,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
85,7.5,white,0.58,red,0.56,white,3.1,red,0.153,red,5,red,14,red,0.99476,white,3.21,white,1.03,red,11.6,red,California,6,red,,,,,,,,,,,,,white,red,white,red,red,red,red,white,white,red
88,7,white,0.38,white,0.49,white,2.5,red,0.097,red,33,white,85,red,0.9962,red,3.39,red,0.77,red,11.4,red,California,6,red,,,,,,,,,,,,,white,white,white,red,red,white,red,red,red,red
90,6.4,white,0.36,white,0.53,white,2.2,red,0.23,red,19,red,35,red,0.9934,white,3.37,red,0.93,red,12.4,red,California,6,red,,,,,,,,,,,,,white,white,white,red,red,red,red,white,red,red
91,7.4,white,0.635,red,0.1,red,2.4,red,0.08,red,16,red,33,red,0.99736,red,3.58,red,0.69,red,10.8,red,California,7,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
92,6.7,white,0.28,white,0.28,red,2.4,red,0.012,white,36,white,100,white,0.99064,white,3.26,red,0.39,white,11.7,red,California,7,white,,,,,,,,,,,,,white,white,red,red,white,white,white,white,red,white
95,5.9,white,0.29,white,0.25,red,13.4,white,0.067,red,72,white,160,white,0.99721,red,3.33,red,0.54,white,10.3,red,California,6,white,,,,,,,,,,,,,white,white,red,white,red,white,white,red,red,white
96,7.8,red,0.55,red,0.35,white,2.2,red,0.074,red,21,red,66,red,0.9974,red,3.25,red,0.56,white,9.2,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,white
97,8.8,red,0.685,red,0.26,red,1.6,red,0.088,red,16,red,23,red,0.99694,red,3.32,red,0.47,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
99,9.1,red,0.52,red,0.33,white,1.3,red,0.07,red,9,red,30,red,0.9978,red,3.24,white,0.6,red,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
105,6.2,white,0.43,red,0.22,red,1.8,red,0.078,red,21,red,56,red,0.99633,red,3.52,red,0.6,red,9.5,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
109,5.6,white,0.615,red,0,red,1.6,red,0.089,red,16,red,59,red,0.9943,white,3.58,red,0.52,white,9.9,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,white
135,6.4,white,0.36,white,0.21,red,2.2,red,0.047,white,26,white,48,red,0.99661,red,3.47,red,0.77,red,9.7,red,California,6,red,,,,,,,,,,,,,white,white,red,red,white,white,red,red,red,red
149,11.9,red,0.38,white,0.49,white,2.7,red,0.098,red,12,red,42,red,1.0004,red,3.16,white,0.61,red,10.3,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
151,9.1,red,0.29,white,0.33,white,2.05,red,0.063,white,13,red,27,red,0.99516,white,3.26,red,0.84,red,11.7,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,white,red,red
156,8.9,red,0.48,red,0.53,white,4,red,0.101,red,3,red,10,red,0.99586,red,3.21,white,0.59,red,12.1,red,California,7,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
160,9.9,red,0.35,white,0.55,white,2.1,red,0.062,white,5,red,14,red,0.9971,red,3.26,red,0.79,red,10.6,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,red,red
164,8.2,red,0.2,white,0.43,white,2.5,red,0.076,red,31,white,51,red,0.99672,red,3.53,red,0.81,red,10.4,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,white,red,red,red,red
166,7.5,white,0.58,red,0.2,red,2,red,0.073,red,34,white,44,red,0.99494,white,3.1,white,0.43,white,9.3,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,red,white,white,white
173,7.7,red,0.75,red,0.27,red,3.8,red,0.11,red,34,white,89,red,0.99664,red,3.24,white,0.45,white,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,white,red,red,white,white
177,7.6,red,0.49,red,0.26,red,1.6,red,0.236,red,10,red,88,red,0.9968,red,3.11,white,0.8,red,9.3,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,white,red
178,8.3,red,0.6,red,0.13,red,2.6,red,0.085,red,6,red,24,red,0.9984,red,3.31,red,0.59,red,9.2,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
186,9.5,red,0.59,red,0.44,white,2.3,red,0.071,red,21,red,68,red,0.9992,red,3.46,red,0.63,red,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,red
189,7.2,white,0.6,red,0.04,red,2.5,red,0.076,red,18,red,88,red,0.99745,red,3.53,red,0.55,white,9.5,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
195,7.4,white,0.53,red,0.26,red,2,red,0.101,red,16,red,72,red,0.9957,red,3.15,white,0.57,white,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,white,white
196,9.4,red,0.4,white,0.47,white,2.5,red,0.087,red,6,red,20,red,0.99772,red,3.15,white,0.5,white,10.5,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,white
197,8.3,red,0.78,red,0.1,red,2.6,red,0.081,red,45,white,87,red,0.9983,red,3.48,red,0.53,white,10,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,white,red,red,red,white
200,9.8,red,0.5,red,0.49,white,2.6,red,0.25,red,5,red,20,red,0.999,red,3.31,red,0.79,red,10.7,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,red
201,6.3,white,1.02,red,0,red,2,red,0.083,red,17,red,24,red,0.99437,white,3.59,red,0.55,white,11.2,red,Texas,4,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,white
206,6.8,white,0.77,red,0,red,1.8,red,0.066,white,34,white,52,red,0.9976,red,3.62,red,0.68,red,9.9,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,white,white,red,red,red,red
208,8.1,red,0.78,red,0.1,red,3.3,red,0.09,red,4,red,13,red,0.99855,red,3.36,red,0.49,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
218,7.7,red,0.715,red,0.01,red,2.1,red,0.064,white,31,white,43,red,0.99371,white,3.41,red,0.57,white,11.8,red,California,6,red,,,,,,,,,,,,,red,red,red,red,white,white,red,white,red,white
223,10.7,red,0.43,red,0.39,white,2.2,red,0.106,red,8,red,32,red,0.9986,red,2.89,white,0.5,white,9.6,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,white
224,9.4,red,0.24,white,0.33,white,2.3,red,0.061,white,52,white,73,red,0.99786,red,3.47,red,0.9,red,10.2,red,California,6,red,,,,,,,,,,,,,red,white,white,red,white,white,red,red,red,red
227,7,white,0.43,red,0.3,red,2,red,0.085,red,6,red,39,red,0.99346,white,3.33,red,0.46,white,11.9,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,white
228,7.8,red,0.61,red,0.29,red,1.6,red,0.114,red,9,red,29,red,0.9974,red,3.26,red,1.56,red,9.1,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
230,8.2,red,0.33,white,0.32,white,2.8,red,0.067,red,4,red,12,red,0.99473,white,3.3,red,0.76,red,12.8,red,Texas,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,white,red,red
231,7.9,red,0.29,white,0.49,white,2.2,red,0.096,red,21,red,59,red,0.99714,red,3.31,red,0.67,red,10.1,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
232,7.4,white,0.7,red,0,red,1.9,red,0.076,red,11,red,34,red,0.9978,red,3.51,red,0.56,white,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
234,6.3,white,0.39,white,0.08,red,1.7,red,0.066,white,3,red,20,red,0.9954,red,3.34,red,0.58,red,9.4,red,Texas,5,red,,,,,,,,,,,,,white,white,red,red,white,red,red,red,red,red
239,7,white,0.5,red,0.14,red,1.8,red,0.078,red,10,red,23,red,0.99636,red,3.53,red,0.61,red,10.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
240,7.7,red,0.49,red,0.26,red,1.9,red,0.062,white,9,red,31,red,0.9966,red,3.39,red,0.64,red,9.6,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,white,red,red,red,red,red
243,7,white,0.58,red,0.12,red,1.9,red,0.091,red,34,white,124,white,0.9956,red,3.44,red,0.48,white,10.5,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,white,red,red,white
246,11.2,red,0.5,red,0.74,white,5.15,white,0.1,red,5,red,17,red,0.9996,red,3.22,white,0.62,red,11.2,red,Texas,5,red,,,,,,,,,,,,,red,red,white,white,red,red,red,red,white,red
254,7.3,white,0.695,red,0,red,2.5,red,0.075,red,3,red,13,red,0.998,red,3.49,red,0.52,white,9.2,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
258,6.1,white,0.53,red,0.08,red,1.9,red,0.077,red,24,red,45,red,0.99528,white,3.6,red,0.68,red,10.3,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,red
259,11.2,red,0.4,white,0.5,white,2,red,0.099,red,19,red,50,red,0.99783,red,3.1,white,0.58,red,10.4,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
260,9.9,red,0.5,red,0.24,red,2.3,red,0.103,red,6,red,14,red,0.9978,red,3.34,red,0.52,white,10,red,Texas,4,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
264,7.8,red,0.88,red,0,red,2.6,red,0.098,red,25,red,67,red,0.9968,red,3.2,white,0.68,red,9.8,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,red
269,7.3,white,0.4,white,0.3,red,1.7,red,0.08,red,33,white,79,red,0.9969,red,3.41,red,0.65,red,9.5,red,California,6,red,,,,,,,,,,,,,white,white,red,red,red,white,red,red,red,red
270,6.8,white,0.67,red,0.15,red,1.8,red,0.118,red,13,red,20,red,0.9954,red,3.42,red,0.67,red,11.3,red,Texas,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
275,7.7,red,1.005,red,0.15,red,2.1,red,0.102,red,11,red,32,red,0.99604,red,3.23,white,0.48,white,10,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
282,9,red,0.82,red,0.14,red,2.6,red,0.089,red,9,red,23,red,0.9984,red,3.39,red,0.63,red,9.8,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
285,5,white,0.38,white,0.01,red,1.6,red,0.048,white,26,white,60,red,0.99084,white,3.7,red,0.75,red,14,red,California,6,red,,,,,,,,,,,,,white,white,red,red,white,white,red,white,red,red
290,6.6,white,0.725,red,0.2,red,7.8,white,0.073,red,29,white,79,red,0.9977,red,3.29,red,0.54,white,9.2,red,Texas,5,red,,,,,,,,,,,,,white,red,red,white,red,white,red,red,red,white
295,5.6,white,0.915,red,0,red,2.1,red,0.041,white,17,red,78,red,0.99346,white,3.68,red,0.73,red,11.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,red
301,7.1,white,0.69,red,0.08,red,2.1,red,0.063,white,42,white,52,red,0.99608,red,3.42,red,0.6,red,10.2,red,California,6,red,,,,,,,,,,,,,white,red,red,red,white,white,red,red,red,red
303,7.3,white,0.34,white,0.33,white,2.5,red,0.064,white,21,red,37,red,0.9952,white,3.35,red,0.77,red,12.1,red,California,7,red,,,,,,,,,,,,,white,white,white,red,white,red,red,white,red,red
309,10.1,red,0.43,red,0.4,white,2.6,red,0.092,red,13,red,52,red,0.99834,red,3.22,white,0.64,red,10,red,California,7,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
311,7.8,red,0.82,red,0.29,red,4.3,red,0.083,red,21,red,64,red,0.99642,red,3.16,white,0.53,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
318,8.9,red,0.22,white,0.48,white,1.8,red,0.077,red,29,white,60,red,0.9968,red,3.39,red,0.53,white,9.4,red,Texas,6,red,,,,,,,,,,,,,red,white,white,red,red,white,red,red,red,white
319,8,red,0.57,red,0.23,red,3.2,red,0.073,red,17,red,119,white,0.99675,red,3.26,red,0.57,white,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,red,white
320,9.4,red,0.685,red,0.26,red,2.4,red,0.082,red,23,red,143,white,0.9978,red,3.28,red,0.55,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,red,white
324,8.1,red,0.33,white,0.44,white,1.5,red,0.042,white,6,red,12,red,0.99542,red,3.35,red,0.61,red,10.7,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,red,red
329,7.1,white,0.62,red,0.06,red,1.3,red,0.07,red,5,red,12,red,0.9942,white,3.17,white,0.48,white,9.8,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,white,white
330,7.1,white,0.6,red,0,red,1.8,red,0.074,red,16,red,34,red,0.9972,red,3.47,red,0.7,red,9.9,red,Texas,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
332,10,red,0.38,white,0.38,white,1.6,red,0.169,red,27,white,90,red,0.99914,red,3.15,white,0.65,red,8.5,red,California,5,red,,,,,,,,,,,,,red,white,white,red,red,white,red,red,white,red
340,7.1,white,0.59,red,0.02,red,2.3,red,0.082,red,24,red,94,white,0.99744,red,3.55,red,0.53,white,9.7,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,white,red,red,white
344,12.5,red,0.28,white,0.54,white,2.3,red,0.082,red,12,red,29,red,0.9997,red,3.11,white,1.36,red,9.8,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
348,15.9,red,0.36,white,0.65,white,7.5,white,0.096,red,22,red,71,red,0.9976,red,2.98,white,0.84,red,14.9,red,Texas,5,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,white,red
350,7.7,red,0.39,white,0.12,red,1.7,red,0.097,red,19,red,27,red,0.99596,red,3.16,white,0.49,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,white,red,red,red,red,red,red,white,white
356,10.8,red,0.4,white,0.41,white,2.2,red,0.084,red,7,red,17,red,0.9984,red,3.08,white,0.67,red,9.3,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
375,9.1,red,0.795,red,0,red,2.6,red,0.096,red,11,red,26,red,0.9994,red,3.35,red,0.83,red,9.4,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
387,8.4,red,0.29,white,0.4,white,1.7,red,0.067,red,8,red,20,red,0.99603,red,3.39,red,0.6,red,10.5,red,California,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
395,12.2,red,0.34,white,0.5,white,2.4,red,0.066,white,10,red,21,red,1,red,3.12,white,1.18,red,9.2,red,California,6,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,white,red
396,7.1,white,0.61,red,0.02,red,2.5,red,0.081,red,17,red,87,red,0.99745,red,3.48,red,0.6,red,9.7,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
397,12.9,red,0.35,white,0.49,white,5.8,white,0.066,white,5,red,35,red,1.0014,red,3.2,white,0.66,red,12,red,California,7,red,,,,,,,,,,,,,red,white,white,white,white,red,red,red,white,red
399,5.3,white,0.715,red,0.19,red,1.5,red,0.161,red,7,red,62,red,0.99395,white,3.62,red,0.61,red,11,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,red
401,8.5,red,0.585,red,0.18,red,2.1,red,0.078,red,5,red,30,red,0.9967,red,3.2,white,0.48,white,9.8,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
418,8.5,red,0.46,red,0.59,white,1.4,red,0.414,red,16,red,45,red,0.99702,red,3.03,white,1.34,red,9.2,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
420,6.6,white,0.61,red,0.01,red,1.9,red,0.08,red,8,red,25,red,0.99746,red,3.69,red,0.73,red,10.5,red,California,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
421,6.5,white,0.34,white,0.27,red,2.8,red,0.067,red,8,red,44,red,0.99384,white,3.21,white,0.56,white,12,red,California,6,red,,,,,,,,,,,,,white,white,red,red,red,red,red,white,white,white
422,11.1,red,0.31,white,0.53,white,2.2,red,0.06,white,3,red,10,red,0.99572,red,3.02,white,0.83,red,10.9,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,white,red
429,6.2,white,0.65,red,0.06,red,1.6,red,0.05,white,6,red,18,red,0.99348,white,3.57,red,0.54,white,11.95,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,white
431,10,red,0.56,red,0.24,red,2.2,red,0.079,red,19,red,58,red,0.9991,red,3.18,white,0.56,white,10.1,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
440,7.4,white,0.6,red,0.26,red,2.1,red,0.083,red,17,red,91,red,0.99616,red,3.29,red,0.56,white,9.8,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
441,7.4,white,0.74,red,0.07,red,1.7,red,0.086,red,15,red,48,red,0.99502,white,3.12,white,0.48,white,10,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,white,white
444,9.9,red,0.4,white,0.53,white,6.7,white,0.097,red,6,red,19,red,0.9986,red,3.27,red,0.82,red,11.7,red,California,7,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,red,red
445,7.6,red,0.41,red,0.33,white,2.5,red,0.078,red,6,red,23,red,0.9957,red,3.3,red,0.58,red,11.2,red,California,5,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
447,6.4,white,0.38,white,0.14,red,2.2,red,0.038,white,15,red,25,red,0.99514,white,3.44,red,0.65,red,11.1,red,California,6,red,,,,,,,,,,,,,white,white,red,red,white,red,red,white,red,red
450,7.8,red,0.6,red,0.26,red,2,red,0.08,red,31,white,131,white,0.99622,red,3.21,white,0.52,white,9.9,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,white,white,red,white,white
455,10.2,red,0.34,white,0.48,white,2.1,red,0.052,white,5,red,9,red,0.99458,white,3.2,white,0.69,red,12.1,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,white,white,red
456,10.4,red,0.41,red,0.55,white,3.2,red,0.076,red,22,red,54,red,0.9996,red,3.15,white,0.89,red,9.9,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
459,9.1,red,0.28,white,0.46,white,9,white,0.114,red,3,red,9,red,0.99901,red,3.18,white,0.6,red,10.9,red,California,6,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,white,red
461,5.4,white,0.58,red,0.08,red,1.9,red,0.059,white,20,red,31,red,0.99484,white,3.5,red,0.64,red,10.2,red,California,6,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,red
478,7.3,white,0.365,white,0.49,white,2.5,red,0.088,red,39,white,106,white,0.9966,red,3.36,red,0.78,red,11,red,Texas,5,red,,,,,,,,,,,,,white,white,white,red,red,white,white,red,red,red
479,6.7,white,0.64,red,0.23,red,2.1,red,0.08,red,11,red,119,white,0.99538,red,3.36,red,0.7,red,10.9,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,white,red,red,red
483,6.1,white,0.4,white,0.16,red,1.8,red,0.069,red,11,red,25,red,0.9955,red,3.42,red,0.74,red,10.1,red,California,7,red,,,,,,,,,,,,,white,white,red,red,red,red,red,red,red,red
485,7.6,red,0.55,red,0.21,red,2.2,red,0.071,red,7,red,28,red,0.9964,red,3.28,red,0.55,white,9.7,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
489,7.8,red,0.56,red,0.19,red,1.8,red,0.104,red,12,red,47,red,0.9964,red,3.19,white,0.93,red,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,red
491,12.7,red,0.6,red,0.49,white,2.8,red,0.075,red,5,red,19,red,0.9994,red,3.14,white,0.57,white,11.4,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,white
495,7.5,white,0.57,red,0.02,red,2.6,red,0.077,red,11,red,35,red,0.99557,red,3.36,red,0.62,red,10.8,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
498,8.3,red,0.615,red,0.22,red,2.6,red,0.087,red,6,red,19,red,0.9982,red,3.26,red,0.61,red,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
499,8.2,red,0.4,white,0.44,white,2.8,red,0.089,red,11,red,43,red,0.9975,red,3.53,red,0.61,red,10.5,red,Texas,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
501,6.9,white,0.765,red,0.18,red,2.4,red,0.243,red,5.5,red,48,red,0.99612,red,3.4,red,0.6,red,10.3,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
503,7.1,white,0.66,red,0,red,3.9,red,0.086,red,17,red,45,red,0.9976,red,3.46,red,0.54,white,9.5,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
514,10.6,red,0.83,red,0.37,white,2.6,red,0.086,red,26,white,70,red,0.9981,red,3.16,white,0.52,white,9.9,red,Califormia,5,red,,,,,,,,,,,,,red,red,white,red,red,white,red,red,white,white
518,8,red,0.43,red,0.36,white,2.3,red,0.075,red,10,red,48,red,0.9976,red,3.34,red,0.46,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,white
519,8.1,red,0.87,red,0,red,2.2,red,0.084,red,10,red,31,red,0.99656,red,3.25,red,0.5,white,9.8,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
523,7.9,red,0.58,red,0.23,red,2.3,red,0.076,red,23,red,94,white,0.99686,red,3.21,white,0.58,red,9.5,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,white,red
526,7.4,white,0.635,red,0.1,red,2.4,red,0.08,red,16,red,33,red,0.99736,red,3.58,red,0.69,red,10.8,red,California,7,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
532,7.2,white,0.39,white,0.32,white,1.8,red,0.065,white,34,white,60,red,0.99714,red,3.46,red,0.78,red,9.9,red,Texas,5,red,,,,,,,,,,,,,white,white,white,red,white,white,red,red,red,red
